Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Spreadsheet,correctAnswerCount,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
1,1733327165474,04/12/2024 15:46:05,1733327165607,-5,04/12/2024 10:46:05,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1733327314792,04/12/2024 15:48:34,1733327314994,-5,04/12/2024 10:48:34,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,1,Screen 5,Zone1,continue_button,147928.5,,,,,0,1,0,,,,,,Instructions,,,
3,1733327338474,04/12/2024 15:48:58,1733327338670,-5,04/12/2024 10:48:58,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,23668.80000001192,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
4,1733327349918,04/12/2024 15:49:09,1733327350116,-5,04/12/2024 10:49:10,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,35114.40000000596,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,Instructions,,,
5,1733327361343,04/12/2024 15:49:21,1733327361514,-5,04/12/2024 10:49:21,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,Zone1,content_web_audio,46513.30000001192,,,AUDIO PLAY REQUESTED,3,0,1,0,,,,,,Instructions,,,
6,1733327371977,04/12/2024 15:49:31,1733327372106,-5,04/12/2024 10:49:32,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1436x669,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,2,Screen 2,script,force_advance,57116.100000000006,,,,,0,1,0,,,,,,Instructions,,,
7,1733327393850,04/12/2024 15:49:53,1733327394042,-5,04/12/2024 10:49:54,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1512x945,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,21929.5,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,Instructions,,,
8,1733327399915,04/12/2024 15:49:59,1733327400108,-5,04/12/2024 10:50:00,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1512x945,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,3,Screen 1,Zone2,content_web_audio,27995.29999998212,,,,,0,1,0,,,,,,Instructions,,,
9,1733327402210,04/12/2024 15:50:02,1733327402407,-5,04/12/2024 10:50:02,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1512x945,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,4,Screen 6,Zone1,continue_button,2289.5,,,,,0,1,0,,,,,,Instructions,,,
10,1733327422165,04/12/2024 15:50:22,1733327422340,-5,04/12/2024 10:50:22,196386,6,task-wrbu,,41800863,BLIND,12210601,,complete,,675077efcdde5cd72262236f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1512x982,1512x945,Headphone Check Pass,,,Efficient Headphone Screen,1,CB48,Yes,Pass,Exit,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,19927.09999999404,,,,,0,1,0,,,,,,Instructions,,,
