Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-2nfr,branch-i39d,branch-gwtr,branch-9h9t,checkpoint-o7ee,checkpoint-6s7s,branch-ktz5,branch-hxbs,Spreadsheet,correctAnswerCount,EarlyExitButtonText,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
9,1732029542958,19/11/2024 15:19:02,1732029542823,-5,19/11/2024 10:19:02,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,1,1,5,Screen 3,Zone1,continue_button,21671,,,,,0,1,0,,,,,,Instructions,,,
10,1732029543948,19/11/2024 15:19:03,1732029543814,-5,19/11/2024 10:19:03,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,1,Screen 3,Zone3,timelimit_screen,1000,,,,,0,1,0,,,1,,1,Trial,2,HugginsPitch_10_2.flac,1
11,1732029550203,19/11/2024 15:19:10,1732029550042,-5,19/11/2024 10:19:10,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,2,Screen 1,content,content_audio,6220.999999999971,,,,,0,1,0,,,,,1,Trial,2,HugginsPitch_10_2.flac,1
12,1732029556119,19/11/2024 15:19:16,1732029555987,-5,19/11/2024 10:19:15,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,11,1,3,Screen 2,buttonB,response_button_text,5932,,,2,1,1,0,0,,,,,1,Trial,2,HugginsPitch_10_2.flac,1
13,1732029557109,19/11/2024 15:19:17,1732029556974,-5,19/11/2024 10:19:16,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,2,1,Screen 3,Zone3,timelimit_screen,1000,,,,,0,1,0,,,1,,1,Trial,3,HugginsPitch_2_3.flac,1
14,1732029563338,19/11/2024 15:19:23,1732029563204,-5,19/11/2024 10:19:23,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,2,2,Screen 1,content,content_audio,6219,,,,,0,1,0,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
15,1732029610611,19/11/2024 15:20:10,1732029610008,-5,19/11/2024 10:20:10,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,3,2,3,Screen 2,buttonA,response_button_text,46793,,,1,1,0,1,0,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
16,1732029611130,19/11/2024 15:20:11,1732029610990,-5,19/11/2024 10:20:10,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,9,3,1,Screen 3,Zone3,timelimit_screen,1000,,,,,0,1,0,,,1,,1,Trial,1,HugginsPitch_8_1.flac,1
17,1732029617185,19/11/2024 15:20:17,1732029617043,-5,19/11/2024 10:20:17,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,9,3,2,Screen 1,content,content_audio,6046,,,,,0,1,0,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
18,1732029618593,19/11/2024 15:20:18,1732029618459,-5,19/11/2024 10:20:18,196386,5,task-wrbu,,41461495,BLIND,12102286,,complete,,673cab122e521fa8c1d28d89,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x900,Headphone Check Pass,,,Efficient Headphone Screen,1,CB14,Yes,Pass,Pass,Headphone Check Pass,,,,Spreadsheet1,correctAnswerCount,,Spreadsheet1,9,3,3,Screen 2,buttonA,response_button_text,1407,,,1,1,1,0,0,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
